"surah_id","verse_number_start","verse_number_end"
"2","127","128"
"2","201","201"
"2","250","250"
"2","285","286"
"3","8","9"
"3","16","16"
"3","38","38"
"3","53","53"
"3","147","147"
"3","191","194"
"4","75","75"
"5","83","83"
"5","114","114"
"7","23","23"
"7","47","47"
"7","89","89"
"7","126","126"
"7","151","151"
"9","129","129"
"10","85","86"
"11","47","47"
"12","101","101"
"14","35","35"
"14","38","38"
"14","40","41"
"17","80","80"
"18","10","10"
"20","25","28"
"20","45","45"
"20","50","50"
"20","114","114"
"21","87","87"
"21","89","89"
"23","93","94"
"23","97","98"
"23","109","109"
"23","118","118"
"25","65","66"
"25","74","74"
"26","83","85"
"27","19","19"
"28","16","16"
"28","17","17"
"28","21","21"
"28","24","24"
"29","30","30"
"35","34","34"
"37","100","100"
"40","7","9"
"44","12","12"
"46","15","15"
"59","10","10"
"60","4","5"
"66","8","8"
"71","28","28"
